ID,PHENO
sample226,1
sample227,1
sample228,1
sample229,1
sample230,1
sample231,0
sample232,2
sample233,1
sample234,0
sample235,2
sample236,1
sample237,2
sample238,0
sample239,2
sample240,1
sample241,2
sample242,1
sample243,2
sample244,0
sample245,1
sample246,2
sample247,1
sample248,0
sample249,1
sample250,1
sample251,1
sample252,1
sample253,0
sample254,0
sample255,0
sample256,2
sample257,0
sample258,0
sample259,2
sample260,0
sample261,2
sample262,1
sample263,1
sample264,2
sample265,2
sample266,0
sample267,2
sample268,1
sample269,2
sample270,2
sample271,2
sample272,2
sample273,0
sample274,0
sample275,0
sample276,0
sample277,1
sample278,1
sample279,2
sample280,1
sample281,0
sample282,1
sample283,1
sample284,2
sample285,2
sample286,1
sample287,0
sample288,2
sample289,1
sample290,0
sample291,1
sample292,2
sample293,0
sample294,2
sample295,1
sample296,0
sample297,0
sample298,0
sample299,1
sample300,2
sample301,2
sample302,0
sample303,1
sample304,2
sample305,2
sample306,0
sample307,0
sample308,1
sample309,1
sample310,1
sample311,0
sample312,2
sample313,0
sample314,0
sample315,2
sample316,0
sample317,1
sample318,2
sample319,1
sample320,1
sample321,1
sample322,1
sample323,1
sample324,1
sample325,0
sample326,2
sample327,2
sample328,1
sample329,2
sample330,2
sample331,2
sample332,2
sample333,0
sample334,2
sample335,1
sample336,1
sample337,2
sample338,1
sample339,2
sample340,2
sample341,1
sample342,1
sample343,0
sample344,0
sample345,0
sample346,0
sample347,0
sample348,0
sample349,1
sample350,0
sample351,1
sample352,2
sample353,2
sample354,2
sample355,1
sample356,1
sample357,0
sample358,0
sample359,1
sample360,1
sample361,1
sample362,0
sample363,0
sample364,2
sample365,0
sample366,2
sample367,1
sample368,0
sample369,0
sample370,1
sample371,1
sample372,2
sample373,1
sample374,0
sample375,1
sample376,2
sample377,2
sample378,0
sample379,0
sample380,2
sample381,0
sample382,0
sample383,0
sample384,0
sample385,2
sample386,0
sample387,2
sample388,0
sample389,2
sample390,0
sample391,1
sample392,2
sample393,1
sample394,2
sample395,1
sample396,1
sample397,0
sample398,1
sample399,1
sample400,2
sample401,2
sample402,1
sample403,1
sample404,2
sample405,2
sample406,2
sample407,1
sample408,2
sample409,0
sample410,2
sample411,2
sample412,1
sample413,2
sample414,0
sample415,2
sample416,0
sample417,1
sample418,2
sample419,0
sample420,2
sample421,1
sample422,2
sample423,1
sample424,1
sample425,1
sample426,2
sample427,2
sample428,2
sample429,1
sample430,2
sample431,0
sample432,2
sample433,1
sample434,0
sample435,0
sample436,0
sample437,0
sample438,0
sample439,1
sample440,2
sample441,0
sample442,0
sample443,1
sample444,1
sample445,2
sample446,1
sample447,1
sample448,0
sample449,1
sample450,2
sample451,1
sample452,0
sample453,2
sample454,1
sample455,2
sample456,2
sample457,0
sample458,0
sample459,0
sample460,0
sample461,0
sample462,0
sample463,2
sample464,1
sample465,1
sample466,2
sample467,0
sample468,0
sample469,0
sample470,2
sample471,2
sample472,1
sample473,0
sample474,1
sample475,1
sample476,2
sample477,2
sample478,1
sample479,2
sample480,1
sample481,0
sample482,0
sample483,0
sample484,2
sample485,0
sample486,1
sample487,0
sample488,1
sample489,0
sample490,1
sample491,2
sample492,2
sample493,0
sample494,2
sample495,1
sample496,2
sample497,0
sample498,1
sample499,1
sample500,2
