ID,PHENO
sample425,50
sample426,48
sample427,65
sample428,63
sample429,61
sample430,67
sample431,74
sample432,49
sample433,59
sample434,55
sample435,82
sample436,54
sample437,71
sample438,75
sample439,50
sample440,51
sample441,72
sample442,53
sample443,76
sample444,63
sample445,79
sample446,67
sample447,72
sample448,57
sample449,69
sample450,54
sample451,77
sample452,76
sample453,74
sample454,74
sample455,58
sample456,73
sample457,52
sample458,67
sample459,58
sample460,73
sample461,57
sample462,60
sample463,56
sample464,59
sample465,61
sample466,51
sample467,73
sample468,55
sample469,66
sample470,43
sample471,76
sample472,58
sample473,70
sample474,80
sample475,77
sample476,73
sample477,64
sample478,56
sample479,34
sample480,63
sample481,62
sample482,72
sample483,71
sample484,72
sample485,60
sample486,54
sample487,64
sample488,66
sample489,73
sample490,49
sample491,53
sample492,66
sample493,58
sample494,64
sample495,56
sample496,70
sample497,77
sample498,50
sample499,72
sample500,67
